UNIQUEID,ID,SalesSqMTotal,SalesSqMOrganic,TotalSales,Name,Location,Address,Zip,Type,TypeAg,Size,Warehouse,Chain,Neighborhood,District,AreaSqM,USERID,Income,NEARDIST
211001,D11001,5450,115,2130950,Aldi,412,Hermannstal 72,22119,Discounter,Conventional,391,Aldi Nord,Aldi,Horn,Hamburg-Mitte,5851881,45,21404,2817.3
211002,D11002,5450,115,2180000,Aldi,619,Moellner LandStrasse 131,22117,Discounter,Conventional,400,Aldi Nord,Aldi,Billstedt,Hamburg-Mitte,16923802,13,22219,5129.2
211003,D11003,5450,115,3270000,Aldi,452,HolstenStrasse 156,22765,Discounter,Conventional,600,Aldi Nord,Aldi,Altona-Nord,Altona,2222785,6,28607,868.7
211004,D11004,5450,115,3270000,Aldi,705,Paul-Roosen-Strasse 43,22767,Discounter,Conventional,600,Aldi Nord,Aldi,Altona-Altstadt,Altona,2304126,5,27436,793.1
211005,D11005,5450,115,3270000,Aldi,549,Langenfelder Damm 46,22525,Discounter,Conventional,600,Aldi Nord,Aldi,Stellingen,Eimsbuettel,6084188,90,33225,546.0
211006,D11006,5450,115,3270000,Aldi,243,Erdkampsweg 37,22335,Discounter,Conventional,600,Aldi Nord,Aldi,Fuhlsbuettel,Hamburg-Nord,7774423,30,36770,512.0
211007,D11007,5450,115,3270000,Aldi,71,Bahrenfelder Strasse 192-198,22765,Discounter,Conventional,600,Aldi Nord,Aldi,Ottensen,Altona,2551538,74,32724,39.7
211008,D11008,5450,115,3270000,Aldi,972,Winsener Strasse 151,21077,Discounter,Conventional,600,Aldi Nord,Aldi,Langenbek,Harburg,793484,51,31064,3068.7
211009,D11009,5450,115,3270000,Aldi,718,Pinneberger Chaussee 130-132,22523,Discounter,Conventional,600,Aldi Nord,Aldi,Eidelstedt,Eimsbuettel,8722266,22,32538,4215.5
211010,D11010,5450,115,3270000,Aldi,832,Spitzbergenweg 32,22145,Discounter,Conventional,600,Aldi Nord,Aldi,Rahlstedt,Wandsbek,26565949,76,31937,2185.9
211011,D11011,5450,115,3270000,Aldi,110,Berner Heerweg 2-4,22159,Discounter,Conventional,600,Aldi Nord,Aldi,Farmsen-Berne,Wandsbek,8226357,27,30647,3806.6
211012,D11012,5450,115,3270000,Aldi,74,Alter Teichweg 71,22049,Discounter,Conventional,600,Aldi Nord,Aldi,Dulsberg,Hamburg-Nord,1218421,20,25523,1291.8
211013,D11013,5450,115,3270000,Aldi,445,Holsteiner Chaussee 198,22457,Discounter,Conventional,600,Aldi Nord,Aldi,Schnelsen,Eimsblttel,8950744,83,32538,2800.6
211014,D11014,5450,115,3270000,Aldi,887,Tangstedter LandStrasse 25,22415,Discounter,Conventional,600,Aldi Nord,Aldi,Langenhorn,Hamburg-Nord,13367161,52,29363,1882.8
211015,D11015,5450,115,3270000,Aldi,450,Holsteinischer Kamp 65,22081,Discounter,Conventional,600,Aldi Nord,Aldi,Barmbek-Sued,Hamburg-Nord,3046061,9,30044,1464.3
211016,D11016,5450,115,3270000,Aldi,241,Erdkampsweg 134,22335,Discounter,Conventional,600,Aldi Nord,Aldi,Fuhlsbuettel,Hamburg-Nord,7774423,30,33169,504.2
211017,D11017,5450,115,3379000,Aldi,427,Hohe Strasse 15,21073,Discounter,Conventional,620,Aldi Nord,Aldi,Wilstorf,Harburg,3422804,102,22126,949.9
211018,D11018,5450,115,3831350,Aldi,828,SimrockStrasse 182-184,22589,Discounter,Conventional,703,Aldi Nord,Aldi,Iserbrook,Altona,2670153,47,62180,129.2
211019,D11019,5450,115,4354550,Aldi,711,Pezolddamm 156-158,22159,Discounter,Conventional,799,Aldi Nord,Aldi,Farmsen-Berne,Wandsbek,8226357,27,29836,4099.7
211020,D11020,5450,115,4354550,Aldi,981,WrangelStrasse 125,20253,Discounter,Conventional,799,Aldi Nord,Aldi,Hoheluft-West,Eimsbuettel,719573,43,47016,913.4
211021,D11021,5450,115,4354550,Aldi,124,BismarckStrasse 24,20259,Discounter,Conventional,799,Aldi Nord,Aldi,Eimsbuettel,Eimsbuettel,3203037,24,37376,114.5
211022,D11022,5450,115,4354550,Aldi,35,Am Beckerkamp 17,21031,Discounter,Conventional,799,Aldi Nord,Aldi,Lohbruegge,Bergedorf,13044963,54,30769,1194.2
211023,D11023,5450,115,4354550,Aldi,948,Weberade 21-23,21031,Discounter,Conventional,799,Aldi Nord,Aldi,Lohbruegge,Bergedorf,13044963,54,28027,3138.0
211024,D11024,5450,115,4354550,Aldi,278,Friedrich-Frank-Bogen 166,21033,Discounter,Conventional,799,Aldi Nord,Aldi,Bergedorf,Bergedorf,10267720,10,29645,2096.0
211025,D11025,5450,115,4354550,Aldi,112,Beutnerring 21,21077,Discounter,Conventional,799,Aldi Nord,Aldi,Marmstorf,Harburg,5843405,58,33298,1458.3
211026,D11026,5450,115,4354550,Aldi,866,Striepenweg 37,21147,Discounter,Conventional,799,Aldi Nord,Aldi,Hausbruch,Harburg,9834942,40,29466,1617.0
211027,D11027,5450,115,4354550,Aldi,330,Grindelberg 27-31,20144,Discounter,Conventional,799,Aldi Nord,Aldi,Harvestehude,Eimsbuettel,1904425,39,57022,637.1
211028,D11028,5450,115,4354550,Aldi,511,Klaus-Groth-Strasse 91,20535,Discounter,Conventional,799,Aldi Nord,Aldi,Borgfelde,Hamburg-Mitte,804063,16,27538,1209.3
211029,D11029,5450,115,4354550,Aldi,319,Grachtenplatz 7,21035,Discounter,Conventional,799,Aldi Nord,Aldi,Neuallermoehe,Bergedorf,4204288,61,30454,2605.8
211030,D11030,5450,115,4354550,Aldi,57,Auf dem Koenigslande 21,22041,Discounter,Conventional,799,Aldi Nord,Aldi,Wandsbek,Wandsbek,5943628,99,23733,1294.8
211031,D11031,5450,115,4354550,Aldi,576,Luebecker Strasse 116-124,22087,Discounter,Conventional,799,Aldi Nord,Aldi,Hohenfelde,Hamburg-Nord,1034574,44,35020,1446.8
211032,D11032,5450,115,4354550,Aldi,457,Horner LandStrasse 110,22111,Discounter,Conventional,799,Aldi Nord,Aldi,Horn,Hamburg-Mitte,5851881,45,22402,1651.1
211033,D11033,5450,115,4354550,Aldi,96,Bekassinenau 86,22147,Discounter,Conventional,799,Aldi Nord,Aldi,Rahlstedt,Wandsbek,26565949,76,31078,3975.0
211034,D11034,5450,115,4354550,Aldi,794,Scharbeutzer Strasse 76,22147,Discounter,Conventional,799,Aldi Nord,Aldi,Rahlstedt,Wandsbek,26565949,76,31077,5504.2
211035,D11035,5450,115,4354550,Aldi,156,Bramfelder Drift 14,22175,Discounter,Conventional,799,Aldi Nord,Aldi,Bramfeld,Wandsbek,10065838,17,50255,4574.7
211036,D11036,5450,115,4354550,Aldi,404,Heinrich-Helbing-Strasse 22,22177,Discounter,Conventional,799,Aldi Nord,Aldi,Bramfeld,Wandsbek,10065838,17,27963,998.4
211037,D11037,5450,115,4354550,Aldi,975,Winterhuder Marktplatz 6-7a,22299,Discounter,Conventional,799,Aldi Nord,Aldi,Winterhude,Hamburg-Nord,7127776,103,55000,345.6
211038,D11038,5450,115,4354550,Aldi,460,HufnerStrasse 129,22305,Discounter,Conventional,799,Aldi Nord,Aldi,Barmbek-Nord,Hamburg-Nord,3780652,8,38146,84.0
211039,D11039,5450,115,4354550,Aldi,845,Steilshooper Strasse 317,22309,Discounter,Conventional,799,Aldi Nord,Aldi,Steilshoop,Wandsbek,2498357,88,25712,1929.2
211040,D11040,5450,115,4354550,Aldi,539,KunauStrasse 1,22393,Discounter,Conventional,799,Aldi Nord,Aldi,Sasel,Wandsbek,8363060,82,58603,2365.8
211041,D11041,5450,115,4354550,Aldi,724,Poppenbuettler HauptStrasse 1,22399,Discounter,Conventional,799,Aldi Nord,Aldi,Poppenbuettel,Wandsbek,8105178,75,53568,3490.1
211042,D11042,5450,115,4354550,Aldi,141,Borsteler Chaussee 86,22453,Discounter,Conventional,799,Aldi Nord,Aldi,Grob Borstel,Hamburg-Nord,3985745,31,50825,2189.1
